code,name,gpin
ae,Administración de Empresas,https://goo.gl/maps/HfgdcA5krWJ1YNnw5
ai,Antiguo Instituto,https://maps.app.goo.gl/eGuXyvnwvQiQ2wBy5
am,Ingeniería Agrícola,https://goo.gl/maps/7bp1WLZQcywqXhSx6
ap,Anexo Piñero,https://maps.app.goo.gl/WFA4yjx6hrGfbbtSA
ar,Artes Plásticas (Imprenta),https://goo.gl/maps/rJFtqVEWZkpnXk8d6
az,Finca Alzamora,https://goo.gl/maps/zpFFjM4yVxNmJSkQ6
b,Biología,https://goo.gl/maps/7N8xgiLTdPLe8S8V6
c,Celis,https://goo.gl/maps/k8R8Dk8MgyhfJJ2g8
ca,Campo Atlético,https://goo.gl/maps/R2rVsaxbTDffUygw7
cd,Centro de Investigación y Desarrollo (CID),https://goo.gl/maps/3Aw264R5t3FFrVyi8
ch,Chardón,https://goo.gl/maps/TmA7yS3H42ZyRGkW7
ci,Ingeniería Civil,https://goo.gl/maps/tTNRYVU5s6if5XzN7
cm,Coliseo Mangual,https://goo.gl/maps/D453YiKwuBAGdoNJ6
cs,Cancha Softball,https://goo.gl/maps/KmozoavfMFKs89DK7
ct,Cancha de Tenis,https://goo.gl/maps/EpPo79fjamwnbZvR8
ea,Estudios Aeroespaciales,https://goo.gl/maps/2Pdd75AnZ8bUzUV26
ee,Edificio de Enfermería,https://goo.gl/maps/agiMtNENRKzam61m6
ei,Estación de Isabela,https://goo.gl/maps/M3SWq6CwWRRWvUR38
el,Estación de Lajas,https://goo.gl/maps/ZpQu6wsxvnZ7Qbq48
en,Laboratorio de Entomología,https://goo.gl/maps/VyjFoe38QbExcUJXA
ep,Escuela Pública,_
f,Física,https://goo.gl/maps/mTX7tjLDQK8zzc5W6
f-a,Física (F-A),https://goo.gl/maps/mTX7tjLDQK8zzc5W6
f-b,Física (F-B),https://goo.gl/maps/mTX7tjLDQK8zzc5W6
f-c,Física (F-C),https://goo.gl/maps/mTX7tjLDQK8zzc5W6
fi,Otras Fincas,https://goo.gl/maps/zpFFjM4yVxNmJSkQ6
ge,Gimnasio Ángel F. Espada,https://goo.gl/maps/qiggcfNzY9d9ayf16
ho,Hospital,_
ib-1,Salones de Instrucción Bibliotecaria,https://goo.gl/maps/8R8vbd7b292UaCEs8
ib-2,Biblioteca General,https://goo.gl/maps/8R8vbd7b292UaCEs8
ii,Ingeniería Industrial,https://goo.gl/maps/fX4iWoPuk9sWwjHWA
ic,Invernadero de Protección de Cultivos,https://goo.gl/maps/VyjFoe38QbExcUJXA
ih,Invernadero de Horticultura,https://goo.gl/maps/VyjFoe38QbExcUJXA
ip,Invernadero de Industria Pecuaria,_
iq,Ingeniería Química,https://goo.gl/maps/cxyNkdJyKYz8pJ9a8
l,Antonio Lucchetti (Ingeniería Mecánica),https://goo.gl/maps/2Pdd75AnZ8bUzUV26
m,Luis Monzón (Matemáticas),https://goo.gl/maps/UrivXZeNRZvKN5bk6
mi,Miradero (Artes Plásticas),_
mg,Isla Magueyes,https://maps.app.goo.gl/aRH6nojgrUN91cbi7
p,Jesús T. Piñero (Agricultura),https://goo.gl/maps/VyjFoe38QbExcUJXA
pa,Piscina Alumni,https://goo.gl/maps/eQqX8kMneSY2qaAN8
ps,Pista Sintética,https://goo.gl/maps/R2rVsaxbTDffUygw7
q,Química,https://goo.gl/maps/jxNcnEnb8sgdKAbq6
ra,Alfredo Ramírez de Arellano y Rosell,https://maps.app.goo.gl/7kxV69w95vjV7eVU7
s,Luis Stefani (Ingeniería),https://goo.gl/maps/6ZJ5nwEkPRvYVVWf6
sa,Sánchez Hall(ROTC),https://goo.gl/maps/Eeww5ub5EFvqwZDXA
sh,Efraín Sánchez Hidalgo (Economía y PPMES),https://goo.gl/maps/pWULVaha3M74dffy9
t,Terrats (Pagaduría y Finanzas),https://goo.gl/maps/Rsto52FzgRVCoFdP6
ta,Taller de Artes Gráficas,https://goo.gl/maps/DsqsGe5ezfaP6mBi7
